edge_id,start_lat,start_lon,end_lat,end_lon
293233993,10.311209288797592,47.72242865877967,10.31130858927005,47.72243760155948
293233994,10.311166815122002,47.72245244856166,10.311252500779645,47.72254585677604
293233995,10.311067440178698,47.72224393430441,10.3115667159178,47.72001423044049
293233996,10.311394641362151,47.72238623015292,10.313962123408842,47.72153958274713
375100791#0,10.311445190654355,47.71362111493033,10.311668530836934,47.71365923225904
375100791#1,10.311818726762299,47.713720590119095,10.311960961010639,47.714133945046186
375100792,10.311758209677926,47.71362545481765,10.31182633175745,47.71345524630081
37883796,10.328214249454469,47.71615079218158,10.328932402737944,47.71646684939263
37883801,10.3151747572789,47.714838665510136,10.315462926924457,47.71523792616549
37883807,10.333417025241612,47.724112215080915,10.333015532715882,47.72449469988194
37883808,10.313352783836145,47.71013826786183,10.314347808416624,47.7111732803125
37883817,10.311382759592075,47.71181055935243,10.312294167012176,47.710426345171676
37883823#0,10.328617325126118,47.72991535547259,10.328671232918953,47.72981161601352
37883823#1,10.328672499814843,47.72980899196986,10.328727051135145,47.729704345246525
37883825,10.328935854747352,47.72957676714875,10.328897846671788,47.72965017983124
403665361,10.32044605526717,47.71550213512553,10.320893310586232,47.715407413385144
403665362,10.32075940344673,47.71559287111473,10.32075770705644,47.71559433029941
403665363,10.320683638391882,47.71556513003942,10.320496917497621,47.7156101989135
40871707,10.328161449414766,47.71629761861343,10.327130683110665,47.71641877975152
40871708,10.327145601982137,47.71639197352553,10.327545746287594,47.71628251939037
40871709,10.326008537809606,47.715902499603374,10.325595841772987,47.71594289985612
40871710,10.326089669975326,47.715889414830635,10.327141702262436,47.71639066895364
40871711,10.325309140833692,47.71604635800455,10.325155002828643,47.71579889760332
40871712,10.325177693129262,47.71576831275389,10.32554135293668,47.71580793162108
40871713,10.325078597116123,47.71576702781057,10.323890249442911,47.715741244992834
40871714,10.323779161616736,47.7156244747994,10.323643958009892,47.715413595157436
40871716,10.326600221775553,47.71584873622709,10.324446782056631,47.71543946739993
40871717#1,10.324180474342493,47.71539008362746,10.323722664479577,47.71530475782262
40871717#2,10.323719451876034,47.715304255014644,10.323587419615272,47.715286972658056
41084869#0,10.323544966160984,47.71519266992887,10.323751761158865,47.71523230428384
41084869#1,10.323755647037437,47.715233069258964,10.328123148090686,47.71613884483433
41958250,10.323641481338152,47.715410564456626,10.323554564426798,47.71533211601642
4330209,10.311786962790602,47.70835980198414,10.312464607338867,47.709236992467936
46829657,10.310319370198355,47.72737953947536,10.310102927701958,47.728421620995974
49432331,10.299157879450794,47.71767172644137,10.30011331478938,47.717852558529714
49432332#1,10.298597676979904,47.7177307054846,10.297703179254944,47.717571216320586
49776165,10.322072337883265,47.724726946297054,10.317952331157795,47.72404632822243
49776166#1,10.320017538319028,47.7157079880355,10.317772652833746,47.71591833870629
49776167#0,10.313248679084923,47.72424278517172,10.31120476819037,47.723969951125795
49776175,10.327352975572186,47.716000057345276,10.326702712797076,47.71586820126681
49776240,10.315678401456285,47.72852914525301,10.315887134664756,47.72854591705975
50305953#0,10.316722615301638,47.71565631891923,10.317342360434335,47.71577400538395
50305953#0-AddedOnRampEdge,10.315481632597917,47.71527658244769,10.316631216788027,47.715616562482296
50305953#1,10.317346236059613,47.7157743657902,10.319271741462362,47.715730872325985
50305957,10.315387802566024,47.71541559532942,10.31494504234034,47.71552774489825
50305958,10.315252757605325,47.7141183926365,10.315133577016592,47.71477579261057
50305959#0,10.315083909090552,47.71490809053508,10.315025905965474,47.71508799265279
50343366#1,10.314798800100705,47.71941527888742,10.3141128465568,47.7174909834235
50343367#1,10.314984131022339,47.71966127076484,10.314666151322553,47.720081245083385
51203305,10.31125418142106,47.72279876698517,10.311293135741915,47.7226188148088
